已发布: 41

6861  ||  已发布  ||  开篇词 | 设计模式：程序员的基本功，你离及格还差多少？  ||  2c9f584b639845908547867275f1cd96
6862  ||  已发布  ||  01 | 学习思维：怎样才能学好 Java 设计模式？  ||  a3e3f11a62e34e3a8b3c3f21b3b824d9
6863  ||  已发布  ||  02 | 组合思维：Unix 哲学到底给现代编程带来哪些重要启示？  ||  6324b0ac71644d0db556b9deb1b3ce17
6864  ||  已发布  ||  03 | 分层思维：为什么要做代码分层架构？  ||  78255913f9834fbbb6da789dede2ddf1
6865  ||  已发布  ||  04 | 工程思维：如何用软件工程方法解决开发难题？  ||  1648cb651d234b1bbec419398fdc26c8
6866  ||  已发布  ||  05 | 对象思维：面向对象编程有哪些优势？  ||  b3bda92493eb45778c4838fe72e75f87
6867  ||  已发布  ||  06 | 迭代思维：如何高效编程？  ||  fc5fa28a65894c30ac7061b6ec4792e9
6868  ||  已发布  ||  07 | 单一原则：如何跳出错误抽象的误区？  ||  23939ca74b1a4551976806e0427e3158
6869  ||  已发布  ||  08 | 简单原则：如何写出“简单”代码？  ||  d64e0d6591ea4e738006febe4054ad50
6870  ||  已发布  ||  09 | 最少原则：如何实现“最少知识”代码？  ||  ca491034aca444959de055f5f51de0b2
6871  ||  已发布  ||  10 | 表达原则：如何让源代码成为一种逻辑线索？  ||  258c4747993746ee893685183b8e7a39
6872  ||  已发布  ||  11 | 职责原则：如何在代码设计中实现职责分离？  ||  c271e2d9b6b341eea644a2d072b926ed
6877  ||  已发布  ||  12 | 面向对象原则：面向对象编程框架到底长什么样？  ||  6b5e202fc321496b9e0c32ca4ce34d0d
6878  ||  已发布  ||  13 | 反转原则：如何减少代码间的相互影响？  ||  0dbc02c93b1841df84b8599b3c038897
6879  ||  已发布  ||  14 | 惯例原则：如何提升编程中的沟通效率？  ||  3a200bac368c40e5b7ea4d355746fd15
6880  ||  已发布  ||  15 | 分离原则：如何将复杂问题拆分成小问题？  ||  0fc9975dcbd34a75b106068801b8380c
6881  ||  已发布  ||  16 | 契约原则：如何做好 API 接口设计？  ||  d6da586be69a48b9a53b523aed044569
6882  ||  已发布  ||  17 | 单例模式：如何有效进行程序初始化？  ||  2f95f8ef6fe54b63b6f13fd6e6121f87
6883  ||  已发布  ||  18 | 建造者模式：如何创建不同形式的复杂对象？  ||  ca697873ae9f4682b51a428ee4900cec
6884  ||  已发布  ||  19 | 抽象工厂模式：如何统一不同代码风格下的代码级别？  ||  e38300a747f64efabb0a082d09638510
6885  ||  已发布  ||  20 | 工厂方法模式：如何解决生成对象时的不确定性？  ||  74367f085ba546c99e10aba6229f1b53
6886  ||  已发布  ||  21 | 原型模式：什么场景下需要用到对象拷贝？  ||  984deef244fe4c258c8e32aafa5c6143
6887  ||  已发布  ||  22 | 适配器模式：如何处理不同 API 接口的兼容性？  ||  5b5febd24edb4b6196ff6eed322b133c
6888  ||  已发布  ||  23 | 桥接模式：如何实现抽象协议与不同实现的绑定？  ||  86a8a5637a5c465abc1e4419fbc711c4
6889  ||  已发布  ||  24 | 组合模式：如何用树形结构处理对象之间的复杂关系？  ||  259928b1e66848d6b7f99bda15c84871
6890  ||  已发布  ||  25 | 装饰模式：如何在基础组件上扩展新功能？  ||  be754ab35fbd4ab6925174b602aaba6e
6891  ||  已发布  ||  26 | 门面模式：如何实现 API 网关的高可用性？  ||  b7dd1d71edba4fa4b002a83781870487
6892  ||  已发布  ||  27 | 享元模式：如何通过共享对象减少内存加载消耗？  ||  942bf484b59e4207b8bd03d50589c348
6893  ||  已发布  ||  28 | 代理模式：如何控制和管理对象的访问？  ||  9d97ff250c114243a7bd3dda95dd4836
6894  ||  已发布  ||  29 | 访问者模式：如何实现对象级别的矩阵结构？  ||  42f281bcf9fa4283bd83f10526197f60
6895  ||  已发布  ||  30 | 模板方法模式：如何实现同一模板框架下的算法扩展？  ||  0c8e5e215a0c431aaa2cd12c7b471bff
6896  ||  已发布  ||  31 | 策略模式：如何解决不同活动策略的营销推荐场景？  ||  91bebfe287524dd3a53fe1095946e49d
6897  ||  已发布  ||  32 | 状态模式：如何通过有限状态机监控功能的“状态变化”？  ||  c13afb2b8fc54c39bde9c388e6ee90e4
6898  ||  已发布  ||  33 | 观察者模式：如何发送消息变化的通知？  ||  b448a65e248e45b28389f53d7628207d
6899  ||  已发布  ||  34 | 备忘录模式：如何在聊天会话中记录历史消息？  ||  036da3c7199f475e927e2401a95da6f0
6900  ||  已发布  ||  35 | 中介者模式：如何通过中间层来解决耦合过多的问题？  ||  377894f6b60b440fb58b84681cab4220
6901  ||  已发布  ||  36 | 迭代器模式：如何实现遍历数据时的职责分离？  ||  c47bd2280afe4e1b9ff81787157d6902
6902  ||  已发布  ||  37 | 解释器模式：如何实现一个自定义配置规则功能？  ||  3da92b3bc7c24f44a21d03584d0217d1
6903  ||  已发布  ||  38 | 命令模式：如何在一次请求中封装多个参数？  ||  e20aabf25b984bd080d79a32dead6ae0
6904  ||  已发布  ||  39 | 责任链模式：如何解决审核、过滤场景问题？  ||  eecfb003bbd74cbc9a66e291f3297d05
6905  ||  已发布  ||  结束语 | 扬帆起航，从心开始  ||  016055fb65dc4aebb08cb2d1e4242b60
