已发布: 25

5000  ||  已发布  ||  开篇词 | 数学，编程能力的营养根基  ||  6b54669758514cf99b99e769ef573188
5001  ||  已发布  ||  01 | 从计数开始，程序员必知必会的数制转换法  ||  76d6efb2ec1f4896aab5520b79681d93
5002  ||  已发布  ||  02 | 逻辑与沟通，怎样才能讲出有逻辑的话？  ||  b2832b362e6541ce9b1e8e32619e7946
5003  ||  已发布  ||  03 | 用数学决策，如何规划好投入、转化和产出？  ||  2ff27bd2d281419a9002e12aa95e0bee
5004  ||  已发布  ||  04 | 万物可数学，经典公式是如何在生活中应用的？  ||  ea388b13e6964051a1e42b2911eeb255
5005  ||  已发布  ||  05 | 求极值：如何找到复杂业务的最优解？  ||  7618ef073cd94e90af91a630d43a764d
5006  ||  已发布  ||  06 | 向量及其导数：计算机如何完成对海量高维度数据计算？  ||  28f3e90354544ca09ea6550f3b31e9fb
5007  ||  已发布  ||  07 | 线性回归：如何在离散点中寻找数据规律？  ||  e2a3e144687640dd811360ae22f8295e
5008  ||  已发布  ||  08 | 加乘法则：如何计算复杂事件发生的概率？  ||  d384792566a3427c8eaf5cf6f38f0d6b
5009  ||  已发布  ||  09 | 似然估计：如何利用 MLE 对参数进行估计？  ||  abba59ca2f344ddb90415f7b4b57a8b3
5010  ||  已发布  ||  10 | 信息熵：事件的不确定性如何计算？  ||  a33716d8c10e4a3b8f2c15917a1611e7
5011  ||  已发布  ||  11 | 灰度实验：如何设计灰度实验并计算实验的收益？  ||  5ed6afc11ceb4e598dfef82e259b6d02
5012  ||  已发布  ||  12 | 统计学方法：如何证明灰度实验效果不是偶然得到的？  ||  6700a1727a1b4e34b7d766f590f58a0c
5013  ||  已发布  ||  13 | 复杂度：如何利用数学推导对程序进行优化？  ||  89487747fd1944d7a1ebad8c40b1884f
5014  ||  已发布  ||  14 | 程序的循环：如何利用数学归纳法进行程序开发？  ||  07527eb0688e40bd84a7a78ea9a40cfe
5015  ||  已发布  ||  15 | 递归：如何计算汉诺塔问题的移动步数？  ||  1c02564933ee4fe08dee65a4139e9791
5016  ||  已发布  ||  16 | 二分法：如何利用指数爆炸优化程序？  ||  2875da3d84b14c20b89bc326cf0812bf
5017  ||  已发布  ||  17 | 动态规划：如何利用最优子结构解决问题？  ||  790f06873e6a41779b2460e416cda150
5018  ||  已发布  ||  18 | AI 入门：利用 3 个公式搭建最简 AI 框架  ||  4b91319843284edab981a07e29777ae9
5019  ||  已发布  ||  19 | 逻辑回归：如何让计算机做出二值化决策？  ||  a273f6c781ca49898bcd37eb8d29fc06
5020  ||  已发布  ||  20 | 决策树：如何对 NP 难复杂问题进行启发式求解？  ||  df3941ec0eb14abdb83cf0b3acfa04e0
5021  ||  已发布  ||  21 | 神经网络与深度学习：计算机是如何理解图像、文本和语音的？  ||  7c031a68cf56427e9afc416b0dbb861d
5022  ||  已发布  ||  22 | 面试中那些坑了无数人的算法题  ||  899bc6c4504a4434a642162d593dac1c
5023  ||  已发布  ||  23 | 站在生活的十字路口，如何用数学抉择？  ||  8b53c692aea9499686943e15da2be846
5024  ||  已发布  ||  结束语 | 数学底子好，学啥都快  ||  1be943aa30934d3193cebc30a3110dee
